 1.0000000     0
 0.9704243     0.0088922
 0.9140463     0.0211897
 0.8472181     0.0347532
 0.7758592     0.0481106
 0.7032121     0.0605431
 0.6305992     0.0717392
 0.5587203     0.0814635
 0.4881471     0.0894546
 0.4194886     0.0954125
 0.3535018     0.0990204
 0.2912337     0.1000006
 0.2341503     0.0982319
 0.1839848     0.0939211
 0.1420115     0.0876737
 0.1082610     0.0802742
 0.0816284     0.0723486
 0.0606292     0.0642360
 0.0439561     0.0560533
 0.0306500     0.0477949
 0.0200800     0.0394024
 0.0118800     0.0308147
 0.0058805     0.0220142
 0.0020211     0.0130898
 0.0002098     0.0042681
 0.0002098    -0.0042681
 0.0020211    -0.0130898
 0.0058805    -0.0220142
 0.0118800    -0.0308147
 0.0200800    -0.0394024
 0.0306500    -0.0477949
 0.0439561    -0.0560533
 0.0606292    -0.0642360
 0.0816284    -0.0723486
 0.1082610    -0.0802742
 0.1420115    -0.0876737
 0.1839848    -0.0939211
 0.2341503    -0.0982319
 0.2912337    -0.1000006
 0.3535018    -0.0990204
 0.4194886    -0.0954125
 0.4881471    -0.0894546
 0.5587203    -0.0814635
 0.6305992    -0.0717392
 0.7032121    -0.0605431
 0.7758592    -0.0481106
 0.8472181    -0.0347532
 0.9140463    -0.0211897
 0.9704243    -0.0088922
 1.0000000     0
